"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1,2,-0.24253571476033,0.970135724577853,0.00257106015211608,-0.231630468741214,0.926521874964857,-0.296486999988754,-0.970104047639034,-0.242686434403374,-0.00119637408045289
1,3,-0.231630468741214,0.926521874964857,-0.296486999988754,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,4.27097804311059e-05,0.304585327706087,0.952485053070152
1,6,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,0,1,0,-0.999999438466476,-0.000130464007465334,-0.00105168715687425
1,7,0,1,0,-0.24253571476033,0.970135724577853,0.00257106015211608,0.000466563716876902,-0.00515503047518663,0.999986603899821
2,1,-0.24253571476033,0.970135724577853,0.00257106015211608,-0.231630468741214,0.926521874964857,-0.296486999988754,-0.970104047639034,-0.242686434403374,-0.00119637408045289
2,0,-0.231630468741214,0.926521874964857,-0.296486999988754,-0.352031934478667,0.93598798858059,4.83742661779281e-05,-0.878175184491488,-0.330270232428321,-0.346020113454527
2,5,-0.352031934478667,0.93598798858059,4.83742661779281e-05,-0.24253571476033,0.970135724577853,0.00257106015211608,0.000182199751707068,1.68440897524222e-05,0.999999983259763
3,1,-0.231630468741214,0.926521874964857,-0.296486999988754,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,4.27097804311059e-05,0.304585327706087,0.952485053070152
3,4,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,0.000262246878299453,0.915998202572107,-0.401182282897991,0.999989714826411,0.00157627998553946,0.00425271475655653
3,0,0.000262246878299453,0.915998202572107,-0.401182282897991,-0.231630468741214,0.926521874964857,-0.296486999988754,0.396405244717643,0.368220468143682,0.840997365513349
4,3,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,0.000262246878299453,0.915998202572107,-0.401182282897991,0.999989714826411,0.00157627998553946,0.00425271475655653
4,0,0.000262246878299453,0.915998202572107,-0.401182282897991,0.904498646461613,0.000319099173152444,-0.426476372997178,0.396405244717643,0.368220468143682,0.840997365513349
4,13,0.904498646461613,0.000319099173152444,-0.426476372997178,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.000621851553847235,0.999997670230294,0.00206708360485321
4,12,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.667580314251637,0.709111336495537,-0.226930867246689,-0.321941223899937,0.000183800766305285,-0.946759639280789
4,6,0.667580314251637,0.709111336495537,-0.226930867246689,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,-7.22895731973018e-07,0.304787778286449,0.952420290736547
5,2,-0.352031934478667,0.93598798858059,4.83742661779281e-05,-0.24253571476033,0.970135724577853,0.00257106015211608,0.000182199751707068,1.68440897524222e-05,0.999999983259763
5,7,-0.24253571476033,0.970135724577853,0.00257106015211608,-0.188539489687974,0.754562621616176,0.628560329102039,-0.970180111646436,-0.242385124980347,4.64108881851614e-05
5,11,-0.188539489687974,0.754562621616176,0.628560329102039,-0.287320952932228,5.94016424761389e-05,0.957834341878491,0.957841406976835,-2.15375614549262e-05,0.287297474086999
5,19,-0.287320952932228,5.94016424761389e-05,0.957834341878491,-0.366582380297766,-2.59791343385587e-05,0.930385596288071,0.00124708455251614,0.999999087559485,0.000519288278167296
5,0,-0.366582380297766,-2.59791343385587e-05,0.930385596288071,-0.352031934478667,0.93598798858059,4.83742661779281e-05,-0.878175184491488,-0.330270232428321,-0.346020113454527
6,1,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,0,1,0,-0.999999438466476,-0.000130464007465334,-0.00105168715687425
6,10,0,1,0,0.667580314251637,0.709111336495537,-0.226930867246689,0.321908631884073,1.31396123838057e-05,0.94677073916861
6,4,0.667580314251637,0.709111336495537,-0.226930867246689,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,-7.22895731973018e-07,0.304787778286449,0.952420290736547
7,1,0,1,0,-0.24253571476033,0.970135724577853,0.00257106015211608,0.000466563716876902,-0.00515503047518663,0.999986603899821
7,5,-0.24253571476033,0.970135724577853,0.00257106015211608,-0.188539489687974,0.754562621616176,0.628560329102039,-0.970180111646436,-0.242385124980347,4.64108881851614e-05
7,9,-0.188539489687974,0.754562621616176,0.628560329102039,0,1,0,-0.957798904835982,8.81543577889877e-05,-0.287439124205113
8,9,0,0,1,0,1,0,-0.999999973538626,-0.00015571973604005,0.000169334314808578
8,10,0,1,0,1,0,0,-0.000262627451630484,0.000167207344053562,-0.999999951534262
8,16,1,0,0,0,0,1,2.91340319689153e-07,-0.999999999998043,1.95686910797743e-06
9,7,-0.188539489687974,0.754562621616176,0.628560329102039,0,1,0,-0.957798904835982,8.81543577889877e-05,-0.287439124205113
9,8,0,1,0,0,0,1,-0.999999973538626,-0.00015571973604005,0.000169334314808578
9,11,0,0,1,-0.188539489687974,0.754562621616176,0.628560329102039,-0.970119485373991,-0.242627590251135,0.000191171732016113
10,6,0,1,0,0.667580314251637,0.709111336495537,-0.226930867246689,0.321908631884073,1.31396123838057e-05,0.94677073916861
10,12,0.667580314251637,0.709111336495537,-0.226930867246689,1,0,0,1.9239385767309e-05,0.304784997308081,0.952421180489892
10,8,1,0,0,0,1,0,-0.000262627451630484,0.000167207344053562,-0.999999951534262
11,5,-0.188539489687974,0.754562621616176,0.628560329102039,-0.287320952932228,5.94016424761389e-05,0.957834341878491,0.957841406976835,-2.15375614549262e-05,0.287297474086999
11,18,-0.287320952932228,5.94016424761389e-05,0.957834341878491,0,0,1,-0.000527447771609821,-0.999999854737098,0.000111016355807705
11,9,0,0,1,-0.188539489687974,0.754562621616176,0.628560329102039,-0.970119485373991,-0.242627590251135,0.000191171732016113
12,4,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.667580314251637,0.709111336495537,-0.226930867246689,-0.321941223899937,0.000183800766305285,-0.946759639280789
12,10,0.667580314251637,0.709111336495537,-0.226930867246689,1,0,0,1.9239385767309e-05,0.304784997308081,0.952421180489892
12,14,1,0,0,0.946813369521381,7.64973607070679e-05,-0.321783171686934,-0.000151908558524855,-0.999999753792411,-0.000685083138902516
13,4,0.904498646461613,0.000319099173152444,-0.426476372997178,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.000621851553847235,0.999997670230294,0.00206708360485321
13,14,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.910748323245574,-0.273224496973672,-0.309654429903495,0.321625125578705,4.6363071297642e-05,0.946867084889399
13,0,0.910748323245574,-0.273224496973672,-0.309654429903495,0.904498646461613,0.000319099173152444,-0.426476372997178,0.396405244717643,0.368220468143683,0.840997365513348
14,12,1,0,0,0.946813369521381,7.64973607070679e-05,-0.321783171686934,-0.000151908558524855,-0.999999753792411,-0.000685083138902516
14,13,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.910748323245574,-0.273224496973672,-0.309654429903495,0.321625125578705,4.6363071297642e-05,0.946867084889399
14,21,0.910748323245574,-0.273224496973672,-0.309654429903495,0.957793635999494,-0.287456638968046,6.18802203022708e-05,-0.287616116585792,-0.957745773602507,5.12507827811204e-05
14,15,0.957793635999494,-0.287456638968046,6.18802203022708e-05,1,0,0,-0.000268986303338448,-0.00111147937182437,-0.999999346129774
15,14,0.957793635999494,-0.287456638968046,6.18802203022708e-05,1,0,0,-0.000268986303338448,-0.00111147937182437,-0.999999346129774
15,16,1,0,0,0.628721992121163,-0.188587379691282,0.754415921580628,-3.67851049602676e-05,0.970147536559308,0.242515475701577
15,20,0.628721992121163,-0.188587379691282,0.754415921580628,0.957793635999494,-0.287456638968046,6.18802203022708e-05,0.287297170161054,0.957841490761821,-0.000120799927816732
16,8,1,0,0,0,0,1,2.91340319689153e-07,-0.999999999998043,1.95686910797743e-06
16,17,0,0,1,0.628721992121163,-0.188587379691282,0.754415921580628,-0.287620557553404,-0.957744428783913,0.000154938842588186
16,15,0.628721992121163,-0.188587379691282,0.754415921580628,1,0,0,-3.67851049602676e-05,0.970147536559308,0.242515475701577
17,16,0,0,1,0.628721992121163,-0.188587379691282,0.754415921580628,-0.287620557553404,-0.957744428783913,0.000154938842588186
17,20,0.628721992121163,-0.188587379691282,0.754415921580628,-0.00275379377956557,-0.242772990338074,0.970074838811946,-2.18128680827378e-06,0.970139867945017,0.242546153584976
17,18,-0.00275379377956557,-0.242772990338074,0.970074838811946,0,0,1,-0.999999984379159,5.07476786266947e-05,0.000169311413819527
18,11,-0.287320952932228,5.94016424761389e-05,0.957834341878491,0,0,1,-0.000527447771609821,-0.999999854737098,0.000111016355807705
18,17,0,0,1,-0.00275379377956557,-0.242772990338074,0.970074838811946,-0.999999984379159,5.07476786266947e-05,0.000169311413819527
18,22,-0.00275379377956557,-0.242772990338074,0.970074838811946,-0.279447859699573,-0.232873216416311,0.931492865665244,-6.2415888164969e-05,0.970025398250071,0.243003544941319
18,19,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.287320952932228,5.94016424761389e-05,0.957834341878491,-0.957826988698954,-0.000846358121702201,-0.287344294180035
19,5,-0.287320952932228,5.94016424761389e-05,0.957834341878491,-0.366582380297766,-2.59791343385587e-05,0.930385596288071,0.00124708455251614,0.999999087559485,0.000519288278167296
19,0,-0.366582380297766,-2.59791343385587e-05,0.930385596288071,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.878175184491488,-0.33027023242832,-0.346020113454527
19,18,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.287320952932228,5.94016424761389e-05,0.957834341878491,-0.957826988698954,-0.000846358121702201,-0.287344294180035
20,15,0.628721992121163,-0.188587379691282,0.754415921580628,0.957793635999494,-0.287456638968046,6.18802203022708e-05,0.287297170161054,0.957841490761821,-0.000120799927816732
20,21,0.957793635999494,-0.287456638968046,6.18802203022708e-05,0.919063759245388,-0.394108822334405,0.000206397490650504,-0.00030841314391799,-0.00124292742789737,-0.999999180006035
20,0,0.919063759245388,-0.394108822334405,0.000206397490650504,-0.00566911034464127,-0.351956675510854,0.935999123798333,0.372153726486312,0.868036484116126,0.328655238974925
20,22,-0.00566911034464127,-0.351956675510854,0.935999123798333,-0.00275379377956557,-0.242772990338074,0.970074838811946,0.999983901496903,-0.00177001403523611,0.00539108498790516
20,17,-0.00275379377956557,-0.242772990338074,0.970074838811946,0.628721992121163,-0.188587379691282,0.754415921580628,-2.18128680827378e-06,0.970139867945017,0.242546153584976
21,14,0.910748323245574,-0.273224496973672,-0.309654429903495,0.957793635999494,-0.287456638968046,6.18802203022708e-05,-0.287616116585792,-0.957745773602507,5.12507827811204e-05
21,20,0.957793635999494,-0.287456638968046,6.18802203022708e-05,0.919063759245388,-0.394108822334405,0.000206397490650504,-0.00030841314391799,-0.00124292742789737,-0.999999180006035
21,0,0.919063759245388,-0.394108822334405,0.000206397490650504,0.910748323245574,-0.273224496973672,-0.309654429903495,0.372153726486312,0.868036484116126,0.328655238974925
22,18,-0.00275379377956557,-0.242772990338074,0.970074838811946,-0.279447859699573,-0.232873216416311,0.931492865665244,-6.2415888164969e-05,0.970025398250071,0.243003544941319
22,0,-0.279447859699573,-0.232873216416311,0.931492865665244,-0.00566911034464127,-0.351956675510854,0.935999123798333,0.372153726486312,0.868036484116126,0.328655238974925
22,20,-0.00566911034464127,-0.351956675510854,0.935999123798333,-0.00275379377956557,-0.242772990338074,0.970074838811946,0.999983901496903,-0.00177001403523611,0.00539108498790516
